No.,Port/L2 Forwarder VLAN,Port VLAN,Count
1,"C6 ( Instance Unavailable, Instance Unavailable )",C6,1
2,"C7 ( Instance Unavailable, Instance Unavailable )",C7,1
3,"C10 ( Instance Unavailable, Instance Unavailable )",C10,5192
4,"C10 ( Instance Unavailable, Instance Unavailable )",C10,51
5,"C16 ( Instance Unavailable, Instance Unavailable )",C16,1
6,"C20 ( Instance Unavailable, Instance Unavailable )",C20,16172
7,"C20 ( Instance Unavailable, Instance Unavailable )",C20,62
8,"C30 ( Instance Unavailable, Instance Unavailable )",C30,104695
9,"C30 ( Instance Unavailable, Instance Unavailable )",C30,952
10,"C40 ( Instance Unavailable, Instance Unavailable )",C40,121691
11,"C40 ( Instance Unavailable, Instance Unavailable )",C40,1677
12,"C50 ( Instance Unavailable, Instance Unavailable )",C50,29
13,"C50 ( Instance Unavailable, Instance Unavailable )",C50,3
14,"C51 ( Instance Unavailable, Instance Unavailable )",C51,7
15,"C52 ( Instance Unavailable, Instance Unavailable )",C52,5
16,"C53 ( Instance Unavailable, Instance Unavailable )",C53,3
17,"C55 ( Instance Unavailable, Instance Unavailable )",C55,1
18,"C56 ( Instance Unavailable, Instance Unavailable )",C56,1
19,"C57 ( Instance Unavailable, Instance Unavailable )",C57,1
20,"C58 ( Instance Unavailable, Instance Unavailable )",C58,1
21,"C59 ( Instance Unavailable, Instance Unavailable )",C59,1
22,"C63 ( Instance Unavailable, Instance Unavailable )",C63,1
23,"C64 ( Instance Unavailable, Instance Unavailable )",C64,1
24,"C65 ( Instance Unavailable, Instance Unavailable )",C65,1
25,"C69 ( Instance Unavailable, Instance Unavailable )",C69,1
26,"C70 ( Instance Unavailable, Instance Unavailable )",C70,1
27,"C71 ( Instance Unavailable, Instance Unavailable )",C71,1
28,"C72 ( Instance Unavailable, Instance Unavailable )",C72,1
29,"C73 ( Instance Unavailable, Instance Unavailable )",C73,1
30,"C74 ( Instance Unavailable, Instance Unavailable )",C74,1
31,"C95 ( WIMAX_UPLINK_95, Residential Bridge )",C95,1
32,"C95 ( WiMAX_NMS, Residential Bridge )",C95,1
33,"C95 ( WiMax_MGMT, Residential Bridge )",C95,2
34,"C100 ( MW_MGMT, Residential Bridge )",C100,535
35,"C100 ( MW_MGMT, Residential Bridge )",C100,4
36,"C100 ( MW_NMS_UPLINK_100, Residential Bridge )",C100,2
37,"C100 ( Microwave_NMS_100, Residential Bridge )",C100,4
38,"C101 ( MW_MGMT, Residential Bridge )",C101,9
39,"C101 ( MW_NMS_101, Residential Bridge )",C101,14
40,"C101 ( MW_NMS_UPLINK_101, Residential Bridge )",C101,10
41,"C101 ( NMS_MW, Residential Bridge )",C101,3
42,"C101 ( NMS_MW-VLAN_101, Residential Bridge )",C101,7
43,"C101 ( NMS_MW_VLAN_101, Residential Bridge )",C101,7
44,"C102 ( MW_NMS_102, Residential Bridge )",C102,8
45,"C200 ( SIP_Trunk, Residential Bridge )",C200,532
46,"C200 ( SIP_Trunk, Residential Bridge )",C200,4
47,"C200 ( SME_Services, Residential Bridge )",C200,9
48,"C400 ( H248, Residential Bridge )",C400,15698
49,"C400 ( H248, Residential Bridge )",C400,3
50,"C400 ( POTS, Residential Bridge )",C400,190
51,"C401 ( SIP, Residential Bridge )",C401,32551
52,"C401 ( SIP, Residential Bridge )",C401,1691
53,"C401 ( SIP_01, Residential Bridge )",C401,2990
54,"C401 ( SIP_01, Residential Bridge )",C401,167
55,"C401 ( SIP_R, Residential Bridge )",C401,85908
56,"C401 ( SIP_VOICE, Residential Bridge )",C401,2831
57,"C401 ( SIP_VOICE, Residential Bridge )",C401,184
58,"C401 ( SIP_test, Residential Bridge )",C401,2213
59,"C402 ( AUH-A2W-HU03_IPNGDLC_NB, Cross Connect )",C402,1
60,"C402 ( BH_IPNGLDC_VOICE, Residential Bridge )",C402,1
61,"C402 ( DXB-JGN-HU01_POTS, Residential Bridge )",C402,1
62,"C402 ( DXB-MGN-HU02_POTS, Residential Bridge )",C402,1
63,"C402 ( H248, Residential Bridge )",C402,369
64,"C402 ( IPNGDLC_Voice, Residential Bridge )",C402,1
65,"C402 ( WC-LYA-FCC 105_POTS, Residential Bridge )",C402,1
66,"C402 ( WC-SI2121-HU01_POTS, Residential Bridge )",C402,1
67,"C402 ( WC-SI3508-HU01_POTS, Residential Bridge )",C402,1
68,"C402 ( WC-SJA18-HU01_POTS, Residential Bridge )",C402,1
69,"C402 ( WR-MZD-HU01_IPNGDLC_POTS, Cross Connect )",C402,1
70,"C402 ( bh_ipngldc_voice, Cross Connect )",C402,6
71,"C403 ( DXB-DGN-HU04_POTS, Residential Bridge )",C403,1
72,"C403 ( DXB-MGN-HU05_POTS, Residential Bridge )",C403,1
73,"C403 ( RAK-DGD-FCB51_POTS, Residential Bridge )",C403,1
74,"C403 ( WC-SI3506-HU01_POTS, Residential Bridge )",C403,1
75,"C403 ( WC-SJA20-HU01_POTS, Residential Bridge )",C403,1
76,"C403 ( bh_ipngldc_voice, Cross Connect )",C403,1
77,"C404 ( DXB-DGN-HU03_POTS, Residential Bridge )",C404,1
78,"C404 ( IPNGDLC_Voice, Residential Bridge )",C404,1
79,"C404 ( WC-SI3507-HU01_POTS, Residential Bridge )",C404,1
80,"C404 ( bh_ipngldc_voice, Cross Connect )",C404,1
81,"C405 ( AAN-QRR14-HU01_VOICE, Residential Bridge )",C405,1
82,"C405 ( DXB-JDF27-HU01_POTS, Residential Bridge )",C405,1
83,"C405 ( WC-SJA21-HU01_POTS, Residential Bridge )",C405,1
84,"C406 ( WC-SJA22-HU01_POTS, Residential Bridge )",C406,1
85,"C407 ( DXB-DSO10-HU01_POTS, Residential Bridge )",C407,1
86,"C407 ( DXB-MGN-HU01_POTS, Residential Bridge )",C407,1
87,"C407 ( WC-SJA23-HU01_POTS, Residential Bridge )",C407,1
88,"C408 ( DXB-MGN-HU04_POTS, Residential Bridge )",C408,1
89,"C408 ( WC-SJA17-HU01_POTS, Residential Bridge )",C408,1
90,"C411 ( AUH-MQT18-HU01_POTS, Residential Bridge )",C411,1
91,"C411 ( DXB-DFC13-HU01_POTS, Residential Bridge )",C411,1
92,"C412 ( DXB-DFC13-HU02_POTS, Residential Bridge )",C412,1
93,"C413 ( DXB-DF116-HU01_POTS, Residential Bridge )",C413,1
94,"C413 ( H248, Residential Bridge )",C413,792
95,"C414 ( DXB-DF116-HU02_POTS, Residential Bridge )",C414,1
96,"C414 ( SIP, Residential Bridge )",C414,1489
97,"C415 ( DXB-DFC19-HU01_POTS, Residential Bridge )",C415,1
98,"C416 ( AUH-HYA58-HU01_POTS, Residential Bridge )",C416,1
99,"C417 ( AUH-JYF88-HU01_POTS, Residential Bridge )",C417,1
100,"C417 ( WC-MUH501-HU01_POTS, Residential Bridge )",C417,1
101,"C418 ( WC-MUH502-HU01_POTS, Residential Bridge )",C418,1
102,"C418 ( WC-SI278-HU01_POTS, Residential Bridge )",C418,1
103,"C419 ( DXB-HGN-HU03_POTS, Residential Bridge )",C419,1
104,"C420 ( WC-SI2143-HU01_POTS, Residential Bridge )",C420,1
105,"C421 ( H248, Residential Bridge )",C421,187
106,"C422 ( SIP, Residential Bridge )",C422,539
107,"C422 ( WC-LYA18-HU01_POTS, Residential Bridge )",C422,1
108,"C425 ( EC-MSF05-HU01_POTS, Residential Bridge )",C425,1
109,"C426 ( WC-LYA-FCB-101_POTS, Residential Bridge )",C426,1
110,"C427 ( WC-SJA07-HU01_POTS, Residential Bridge )",C427,1
111,"C429 ( WC-NMY41-HU01_POTS, Residential Bridge )",C429,1
112,"C430 ( WC-SI227-HU01_POTS, Residential Bridge )",C430,1
113,"C431 ( WC-LYA-FCB-102_POTS, Residential Bridge )",C431,1
114,"C432 ( WC-LYA-FCB-103_POTS, Residential Bridge )",C432,1
115,"C433 ( RAK-KOZ51-HU01, Residential Bridge )",C433,1
116,"C433 ( WC-LYA-FCC-501_POTS, Residential Bridge )",C433,1
117,"C434 ( WC-SAL801-HU01_POTS, Residential Bridge )",C434,1
118,"C435 ( WC-LYA-FCB-104_POTS, Residential Bridge )",C435,1
119,"C437 ( DXB-RYH64-HU01_pots, Residential Bridge )",C437,1
120,"C440 ( DXB-MIF52-HU01_POTS, Cross Connect )",C440,1
121,"C441 ( DXB-MIF54-HU01_POTS, Cross Connect )",C441,1
122,"C443 ( DXB-MIF58-HU01_POTS, Cross Connect )",C443,1
123,"C454 ( WC-NMY801-HU01_POTS, Residential Bridge )",C454,1
124,"C460 ( DXB-DSO11-HU01_POTS, Residential Bridge )",C460,1
125,"C464 ( DXB-MIF38-HU01_POTS, Cross Connect )",C464,1
126,"C469 ( AUH-MQT30-HU01_POTS, Residential Bridge )",C469,1
127,"C471 ( H248, Residential Bridge )",C471,114
128,"C472 ( SIP, Residential Bridge )",C472,220
129,"C477 ( DXB-IGN-HU01_POTS, Residential Bridge )",C477,1
130,"C478 ( DXB-IGN-HU02_POTS, Residential Bridge )",C478,1
131,"C479 ( DXB-IGN-HU03_POTS, Residential Bridge )",C479,1
132,"C599 ( E1_VLAN, Residential Bridge )",C599,1070
133,"C600 ( DU-RGW_MGMT, Residential Bridge )",C600,873
134,"C600 ( RGW-MGMT, Residential Bridge )",C600,146
135,"C600 ( RGWMgmt, Residential Bridge )",C600,9
136,"C600 ( RGW_MGMT, Residential Bridge )",C600,106036
137,"C600 ( RGW_MGMT, Residential Bridge )",C600,914
138,"C609 ( RGW-MGMT, Residential Bridge )",C609,368
139,"C618 ( RGW-MGMT, Residential Bridge )",C618,1605
140,"C626 ( RGW-MGMT, Residential Bridge )",C626,148
141,"C699 ( PWETEST, Residential Bridge )",C699,2
142,"C700 ( IPTV_etisalat, Residential Bridge )",C700,2
143,"C701 ( IPTV, Residential Bridge )",C701,1
144,"C701 ( IPTV_etisalat, Residential Bridge )",C701,2
145,"C704 ( IPTV_etisalat, Residential Bridge )",C704,1
146,"C705 ( IPTV_etisalat, Residential Bridge )",C705,1
147,"C715 ( IPTV, Residential Bridge )",C715,23
148,"C800 ( BH_IPNGLDC_MGMT, Residential Bridge )",C800,1
